Time,Potential,ADJ,MIN,MAX,AVG,AXIS 1,AXIS 2,AREA,AVG AREA,DURATION,AVG RPU
73.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
73.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
73.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
73.8,-0.024,-2.541235286,,,-2.517235286,,,,,,
74,-0.029,-2.546235286,,,-2.517235286,,,,,,
74.2,-0.029,-2.546235286,,,-2.517235286,,,,,,
74.4,-0.034,-2.551235286,,,-2.517235286,,,,,,
74.6,-0.029,-2.546235286,,,-2.517235286,,,,,,
74.8,-0.029,-2.546235286,,,-2.517235286,,,,,,
75,-0.024,-2.541235286,,,-2.517235286,,,,,,
75.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
75.4,-0.029,-2.546235286,,,-2.517235286,,,,,,
75.6,-0.024,-2.541235286,,,-2.517235286,,,,,,
75.8,-0.024,-2.541235286,,,-2.517235286,,,,,,
76,-0.024,-2.541235286,,,-2.517235286,,,,,,
76.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
76.4,-0.024,-2.541235286,,,-2.517235286,,,,,,
76.6,-0.02,-2.537235286,,,-2.517235286,,,,,,
76.8,-0.02,-2.537235286,,,-2.517235286,,,,,,
77,-0.02,-2.537235286,,,-2.517235286,,,,,,
77.2,-0.02,-2.537235286,,,-2.517235286,,,,,,
77.4,-0.02,-2.537235286,,,-2.517235286,,,,,,
77.6,-0.02,-2.537235286,,,-2.517235286,,,,,,
77.8,-0.02,-2.537235286,,,-2.517235286,,,,,,
78,-0.02,-2.537235286,,,-2.517235286,,,,,,
78.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
78.4,-0.02,-2.537235286,,,-2.517235286,,,,,,
78.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
78.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
79,-0.015,-2.532235286,,,-2.517235286,,,,,,
79.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
79.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
79.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
79.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
80,-0.015,-2.532235286,,,-2.517235286,,,,,,
80.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
80.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
80.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
80.8,-0.02,-2.537235286,,,-2.517235286,,,,,,
81,-0.015,-2.532235286,,,-2.517235286,,,,,,
81.2,-0.02,-2.537235286,,,-2.517235286,,,,,,
81.4,-0.02,-2.537235286,,,-2.517235286,,,,,,
81.6,-0.02,-2.537235286,,,-2.517235286,,,,,,
81.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
82,-0.02,-2.537235286,,,-2.517235286,,,,,,
82.2,-0.024,-2.541235286,,,-2.517235286,,,,,,
82.4,-0.02,-2.537235286,,,-2.517235286,,,,,,
82.6,-0.02,-2.537235286,,,-2.517235286,,,,,,
82.8,-0.02,-2.537235286,,,-2.517235286,,,,,,
83,-0.02,-2.537235286,,,-2.517235286,,,,,,
83.2,-0.02,-2.537235286,,,-2.517235286,,,,,,
83.4,-0.02,-2.537235286,,,-2.517235286,,,,,,
83.6,-0.02,-2.537235286,,,-2.517235286,,,,,,
83.8,-0.02,-2.537235286,,,-2.517235286,,,,,,
84,-0.015,-2.532235286,,,-2.517235286,,,,,,
84.2,-0.02,-2.537235286,,,-2.517235286,,,,,,
84.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
84.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
84.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
85,-0.015,-2.532235286,,,-2.517235286,,,,,,
85.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
85.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
85.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
85.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
86,-0.015,-2.532235286,,,-2.517235286,,,,,,
86.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
86.4,-0.01,-2.527235286,,,-2.517235286,,,,,,
86.6,-0.01,-2.527235286,,,-2.517235286,,,,,,
86.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
87,-0.015,-2.532235286,,,-2.517235286,,,,,,
87.2,-0.01,-2.527235286,,,-2.517235286,,,,,,
87.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
87.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
87.8,-0.015,-2.532235286,,,-2.517235286,,,,,,
88,-0.01,-2.527235286,,,-2.517235286,,,,,,
88.2,-0.01,-2.527235286,,,-2.517235286,,,,,,
88.4,-0.015,-2.532235286,,,-2.517235286,,,,,,
88.6,-0.015,-2.532235286,,,-2.517235286,,,,,,
88.8,-0.01,-2.527235286,,,-2.517235286,,,,,,
89,-0.015,-2.532235286,,,-2.517235286,,,,,,
89.2,-0.015,-2.532235286,,,-2.517235286,,,,,,
